Weight	Sexe	Stade sexuel
2700	M	4
1300	F	3
650	M	3
900	M	3
1100	M	3
1150	M	4
650	M	3
300	F	1
900	F	4
800	M	3
1000	M	2
220	M	1
120	F	1
180	F	1
80	F	1
90	M	1
1850	M	3
1600	F	2
300	F	2
2200	M	4
250	F	2
2400	F	3
260	M	3
130	F	1
160	F	1
490	F	1
290	F	1
1420	F	4
280	F	1
1000	F	2
650	F	1
1750	F	3
3500	M	3
1100	F	2
850	M	2
850	F	1
1000	M	2
750	M	2
950	M	2
250	M	1
550	M	2
350	F	1
350	F	2
500	F	1
3400	M	3
800	M	2
250	M	1
850	F	4
150	F	1
400	F	1
300	F	1
1150	F	2
600	F	1
250	F	1
900	M	2
500	M	1
450	F	1
250	F	1
100	F	1
1000	F	2
1500	F	4
1100	F	2
2200	M	3
600	M	2
800	M	1
700	M	2
700	M	2
400	M	1
400	F	1
500	F	1
850	F	1
650	M	2
100	M	1
1600	F	2
2600	M	3
500	M	2
2700	M	3
150	F	1
300	F	2
500	M	2
1800	F	5
240	F	3
400	F	2
700	F	2
300	M	2
300	F	4
4000	M	4
5400	M	4
1700	M	3
700	F	4
550	M	2
2200	F	5
1500	F	5
800	F	3
250	F	1
150	F	1
80	M	1
280	F	1
200	M	1
1200	M	3
1300	F	2
1000	M	2
700	M	2
300	F	1
800	F	2
1900	M	3
400	F	1
500	F	1
350	M	1
300	F	1
700	F	2
900	F	2
650	F	1
600	M	1
550	M	2
500	M	1
300	M	1
400	M	2
350	M	2
300	M	1
400	M	2
1000	M	2
1000	M	2
650	F	1
610	F	1
450	M	2
1300	F	2
220	F	1
420	M	1
220	M	1
1500	F	3
560	F	1
500	M	2
300	F	2
900	F	2
200	F	1
850	F	3
650	F	1
600	F	3
600	M	2
500	M	2
400	F	1
200	M	2
200	F	1
390	M	3
180	F	1
120	M	1
80	M	1
120	M	1
70	F	1
900	M	3
850	M	2
500	F	2
700	F	2
350	M	1
1000	F	1
500	F	1
500	F	1
700	F	2
3100	M	3
1500	F	2
500	F	1
700	M	2
650	F	1
600	F	1
1000	F	2
900	F	2
1300	M	3
1600	F	3
600	F	2
700	F	1
600	M	2
900	F	2
950	F	2
1100	F	1
750	M	3
600	M	3
500	F	2
800	F	1
800	F	1
100	M	3
750	F	1
300	F	3
600	F	1
580	F	1
500	F	1
480	F	1
600	F	2
300	F	1
350	M	2
500	F	1
510	M	2
510	M	2
680	M	2
120	F	1
190	F	1
140	F	1
130	F	1
110	M	1
310	M	1
130	F	1
40	F	1
500	M	2
400	F	1
800	F	2
500	M	2
700	M	2
300	M	2
250	M	1
1200	F	3
2400	F	4
1000	M	2
1000	M	2
950	M	2
650	M	2
750	F	2
1250	M	3
1400	F	3
750	F	2
1000	F	2
1850	M	3
1000	F	5
1600	M	2
100	F	1
1000	F	2
1800	M	3
1700	M	3
1800	F	4
1500	M	4
600	F	1
500	F	1
1050	M	2
800	M	1
700	F	1
600	F	1
700	M	2
600	M	1
600	F	1
550	M	1
600	F	1
350	M	1
300	M	1
380	M	1
280	M	1
1100	M	2
1050	F	2
600	F	1
200	F	1
600	F	2
510	M	3
200	F	1
210	M	2
260	F	1
280	F	1
100	F	1
720	F	1
440	F	1
1850	M	4
1200	M	3
300	M	2
340	F	1
140	M	2
160	M	2
240	M	3
200	M	3
200	F	1
560	M	3
140	M	2
180	F	1
200	M	2
500	F	1
200	M	2
80	M	2
180	F	1
40	F	1
80	F	1
680	M	3
1300	M	3
1600	F	2
600	F	2
1600	M	2
600	F	2
650	M	2
600	F	1
450	F	1
400	F	1
650	M	2
400	F	1
350	F	1
400	M	1
350	M	1
600	F	2
550	M	1
250	M	2
100	F	1
250	M	1
400	F	1
200	F	1
1800	F	2
2000	M	1
550	M	2
420	F	1
620	M	2
510	M	2
660	M	2
400	M	2
340	M	2
660	M	2
400	M	1
300	M	1
320	M	1
400	M	1
700	F	2
3100	M	4
950	F	2
1100	F	3
1250	F	3
1000	F	3
950	M	3
1100	M	3
1900	F	4
600	M	2
800	F	2
350	F	1
550	F	2
350	F	2
1100	F	1
700	M	2
1000	M	3
700	F	1
680	M	3
950	M	3
500	M	2
500	M	2
550	M	2
3500	M	4
3900	M	4
1800	F	2
2900	M	4
700	M	3
200	M	1
3750	M	3
2500	M	2
600	F	1
400	F	1
1700	M	3
1000	F	2
800	F	1
600	M	2
1500	F	2
950	F	1
2000	M	3
1300	M	3
1700	M	4
750	M	2
1500	M	3
500	F	1
400	F	1
1300	M	3
400	M	2
750	M	3
1800	M	4
1800	M	4
1100	M	3
950	M	2
1100	M	2
400	M	2
450	M	1
600	M	2
400	F	1
500	M	2
500	M	2
450	F	1
320	M	1
550	M	2
500	M	2
400	M	2
620	M	2
400	F	1
450	M	2
400	M	2
520	M	2
380	M	2
280	M	2
670	F	2
750	M	2
320	F	1
620	F	2
760	M	2
780	F	1
480	M	2
350	F	2
240	M	2
480	F	2
220	F	2
370	M	2
350	M	2
500	M	2
540	M	2
580	M	2
520	F	2
700	M	2
280	F	1
360	F	1
500	F	1
380	M	2
520	F	1
220	M	1
450	M	2
340	F	1
350	F	1
600	M	2
750	F	2
550	M	2
800	F	2
520	M	2
460	F	1
280	F	1
720	F	1
600	M	2
700	M	2
650	M	1
570	M	2
560	F	1
620	F	1
450	F	1
600	F	1
260	M	2
1150	F	2
500	M	2
350	M	2
280	F	1
520	F	1
300	F	1
280	M	2
220	M	2
340	M	2
600	F	1
500	M	2
840	F	2
540	M	2
680	M	2
700	F	2
520	M	2
650	M	2
420	M	2
480	M	2
350	F	1
550	F	1
480	F	1
680	F	1
640	F	1
200	M	2
1400	M	2
2500	M	3
1100	F	1
500	F	1
2000	M	3
800	M	2
950	M	3
1100	F	2
900	F	3
1500	M	3
1400	M	3
500	M	1
950	M	1
3000	M	4
300	F	1
2500	M	1
250	F	1
200	F	1
220	F	1
220	M	1
200	M	1
700	M	2
400	M	1
400	F	1
200	F	1
200	M	1
200	M	1
150	M	1
150	F	1
400	F	1
400	M	1
300	M	1
1500	F	2
540	F	1
400	F	1
700	F	1
500	M	2
