Quarterperiodend,suburb,1BR_flats,2BR_flats,3BR_flats,4+BR_flats,total_flats,1BR_houses,2BR_houses,3BR_houses,3BR_houses,4+BR_houses
2019-03,a,320,460,570,715,344,162,440,46,487.5,475
2019-03,b,310,365,450,750,357.5,325,420,30,500,872.5
2019-03,b,335,395,440,,390,185,330,54,450,460
2019-03,b,250,265,390,350,275,165,320,89,370,165
2019-03,b,195.7,200,390,,390,330,340,14,425,437.5
2019-03,a,225,280,,,250,,220,18,382.5,450
2019-03,a,237.5,322.5,400,,325,327.5,350,49,400,470
2019-03,a,180,260,370,,285,,265,51,370,385
2019-03,a,220,272.5,240,,260,275,290,39,370,390
2019-03,a,200,285,410,,280,245,231.8,42,385,435
2019-03,a,310,345,357.5,,310,,372.5,43,400,
2019-03,b,230,287.5,205.15,,280,200,322.5,40,405,507.5
2019-03,b,,285,395,,290,,260,29,350,470
2019-03,b,,320,365,,320,,327.5,24,420,435
2019-03,b,220,272.5,432.5,,285,162.5,355,32,430,555
2019-03,a,,415,352.5,,380,,,*,420,450
2019-03,a,,380,440,,400,,310,10,450,610
2019-03,a,285,290,550,270,300,330,400,45,505,640
2019-03,a,138.57,275,410,,285,230,320,93,400,492.5
2019-03,a,215,310,400,580,310,190,402.5,43,440,550
2019-03,a,177.97,245,380,,245,,305,44,435,487.5
2019-03,b,250,295,427.5,372.5,282.5,139.075,370,74,430,550
2019-03,b,235,285,355,,280,,350,33,410,595
2019-03,b,255,282.5,390,,280,,382.5,51,430,475
2019-03,b,240,305,470,,325,,400,16,460,550
2019-03,a,245,290,400,,287.5,255,410,23,475,542.5
2019-03,a,220,280,442.5,500,280,165,355,65,440,500
2019-03,a,232.5,280,402.5,500,280,,340,90,417.5,470
2019-03,a,190,280,410,,282.5,170,320,37,415,480
2019-03,a,,,,,,,,*,417.5,
2019-03,a,260,305,390,,280,,320,30,430,487.5
2019-03,b,220,268.8,335,,266.9,215,365,51,380,400
2019-03,b,180,295,355,385,300,,206.8,134,420,425
2019-03,b,222.5,310,350,,310,88,375,35,470,660
2019-03,b,280,305,540,,312.5,260,395,47,490,782.5
2019-03,a,232,310,360,,310,190,347.5,56,430,500
2019-03,a,280,320,320,,280,165,300,67,400,440
2019-03,a,230,320,450,825,322.5,,345,48,425,550
2019-03,a,255,300,520,,310,,367.5,21,400,600
2019-03,a,230,290,370,,242.5,,,6,467.5,420
2019-03,a,237.5,300,300,,300,220,320,14,450,530
2019-03,b,,315,,,210,285,,10,432.5,515
2019-03,b,280,350,460,,345,370,440,30,480,975
2019-03,b,140.75,302.5,435,,300,,397.5,39,475,595
2019-03,b,280,355,495,620,350,345,400,43,500,670
2019-03,a,210,320,475,,310,160,440,22,555,785
2019-03,a,275,300,367.5,,300,,395,17,550,800
2019-03,a,285,300,430,,315,260,375,25,470,600
2019-03,a,250,330,495,,340,,397.5,44,500,650
2019-03,a,242.5,320,440,775,320,113.2,380,17,470,600
2019-03,a,250,310,450,179.65,300,,460,28,480,572.5
2019-03,b,250,300,370,,305,210,330,58,420,495
2019-03,b,,480,,,480,,,0,,
2019-03,b,227.5,295,410,,295,290,350,37,450,580
2019-03,b,,312.5,,,312.5,,425,*,505,650
2019-03,a,235,290,440,,300,,330,79,400,450
2019-03,a,210,290,405,,310,168,262,67,380,485
2019-03,a,,292.5,395,,360,177,285,38,382.5,450
2019-03,a,,335,335,89,317.5,,330,14,372.5,500
2019-03,a,,,,,,,,0,,450
2019-03,a,335,380,410,,357.5,225,360,25,470,720
2019-03,b,240,340,420,485,350,245,345,66,415,560
2019-03,b,230,310,372.5,,310,,332.5,33,395,550
2019-03,b,185,265,300,295,260,221.25,285,60,342.5,400
2019-03,b,235,257.5,410,,265,119.84,340,197,385,480
2019-03,a,212.5,260,308,,260,,97.7,107,380,445
2019-03,a,225,275,360,470,275,141.5,322.5,72,395,460
2019-03,a,,290,290,,290,,169.9,10,335,410
2019-03,a,,,320,,320,215,300,15,370,400
2019-03,a,,295,420,,300,,320,19,375,380
2019-03,a,230,260,305,,235,,395,17,360,430
2019-03,b,189,282.5,350,,285,,310,61,360,400
2019-03,b,,260,,,267.5,,352.5,37,345,337.5
2019-03,b,,,265,,265,,,*,330,
2019-03,b,275,310,365,470,320,,320,128,375,480
2019-03,a,,267.5,310,,270,,260,54,320,407.5
2019-03,a,,272.5,380,,310,,345,31,360,380
2019-03,a,240,,320,,240,,225,59,340,420
2019-03,a,,,,,,,,0,,
2019-03,a,,248.5,312.5,,297.5,170,220,66,322.5,385
2019-03,a,151.65,240,300,390,260,168,255,167,310,400
2019-03,b,77.175,245,322.5,,260,,244.2,65,320,440
2019-03,b,,230,310,,305,,250,29,315,300
2019-03,b,225,220,232,,223,178,230,129,260,370
2019-03,b,170,260,265,,193.6,,215,195,260,310
2019-03,a,153.5,257.5,295,,250,165,245,258,295,372.5
2019-03,a,121,260,290,,260,310,277.5,98,300,360
2019-03,a,,,,,,,,*,265,460
2019-03,a,,232.5,295,,242.5,,,79,315,405
2019-03,a,,,,,,,,0,,570
2019-03,a,,295,,,295,,,0,,
2019-03,b,,255,325,,265,140,272.5,57,310,380
2019-03,b,,,,,,,,8,355,477.5
2019-03,b,,270,,,270,,,6,335,
2019-03,b,,300,360,500,360,,315,43,350,450
